鄉鎮市區,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,交易年月日,建築完成年月,交易筆棟數,移轉層次,建物型態,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,主建物面積,附屬建物面積,陽台面積,電梯
北投區,磺港路１４２號四樓,31.9,住,1100420,1080725,土地1建物1車位1,四層,住宅大樓(11層含以上有電梯),256.94,4,2,2,有,有,41500000,161516,坡道平面,127.98,4.03,10.55,有
北投區,石牌路二段３１５巷３４弄２６號,9.39,住,1100409,1080121,土地1建物1車位0,一層,華廈(10層含以下有電梯),37.92,1,1,1,有,有,11000000,290084,,18.62,0.0,2.69,有
士林區,菁山路１００號八樓,46.67,住,1100419,0881124,土地1建物1車位1,八層,住宅大樓(11層含以上有電梯),109.96000000000001,1,2,1,有,有,13800000,125500,升降機械,59.25,0.0,6.72,有
中山區,北安路８２９號七樓之９,6.33,住,1100425,0991224,土地2建物1車位2,七層,住宅大樓(11層含以上有電梯),88.84,1,1,1,有,有,14500000,163215,坡道平面,24.81,0.79,3.47,有
內湖區,星雲街１３５號十四樓,26.59,住,1100411,0931222,土地1建物1車位1,十四層,住宅大樓(11層含以上有電梯),195.32,3,2,2,有,有,50500000,258550,坡道平面,98.61,5.8,9.85,有
中山區,北安路８２９號五樓,5.94,住,1100424,0991224,土地2建物1車位0,五層,住宅大樓(11層含以上有電梯),46.900000000000006,1,1,1,有,有,12250000,261194,,24.62,0.9,3.62,有
文山區,辛亥路四段１６６巷２５號六樓,26.89,住,1100427,1071026,土地1建物1車位1,六層,華廈(10層含以下有電梯),131.27,2,2,1,有,有,21580000,192833,坡道機械,60.56,5.5,3.78,有
文山區,興隆路二段２５５號五樓,13.67,住,1100430,1080628,土地1建物1車位0,五層,華廈(10層含以下有電梯),61.55,1,1,1,有,有,11660000,189439,,26.72,9.57,2.13,有
南港區,興中路２８巷１６號二十五樓,10.73,商,1100430,1011001,土地1建物1車位1,二十五層,住宅大樓(11層含以上有電梯),169.51,3,2,2,有,有,36660000,216270,坡道平面,68.36,9.43,10.67,有
南港區,重陽路３３８號十一樓,6.38,商,1100425,1091119,土地1建物1車位0,十一層,住宅大樓(11層含以上有電梯),61.7,1,1,1,有,有,15700000,254457,,36.94,1.24,3.32,有
士林區,福華路２之１號,16.21,住,1100422,1070709,土地1建物1車位1,一層,華廈(10層含以下有電梯),142.52,3,1,2,有,有,30000000,210497,升降平面,73.79,0.0,0.0,有
中山區,中山北路二段１１５巷３８號,30.53,商,1100430,0620903,土地1建物1車位0,一層,公寓(5樓含以下無電梯),75.8,0,1,1,有,無,16580000,218734,,75.8,0.0,0.0,無
