鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物)+車位,臺北市文山區興隆路一段１４７號五樓,34.25,住,,,1070427,土地1建物1車位1,五層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970411,144.3,2,2,2,有,無,21500000,148995,升降機械,0.0,0,,RPQNMLNKPHNFFAA67CA,76.65,6.47,5.03,,
文山區,房地(土地+建物),臺北市文山區興隆路一段２５１巷２弄５號四樓,29.75,住,,,1070514,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,83.77,3,2,1,有,無,9050000,108034,,0.0,0,,RPUPMLOJPHNFFAA28CA,83.77,0.0,0.0,,
文山區,房地(土地+建物),臺北市文山區辛亥路四段77巷92弄11號5樓之9,26.47,住,,,1070603,土地3建物1車位0,五層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0920922,43.28,1,1,1,有,有,5800000,134011,,0.0,0,,RPXPMLOJPHNFFAA58CA,25.97,0.0,3.82,,
文山區,房地(土地+建物),臺北市文山區景華街１５２號四樓,31.26,住,,,1070614,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691204,117.04,3,2,1,有,無,12850000,109792,,0.0,0,,RPPNMLPJPHNFFAA67CA,97.07,0.0,19.97,,
萬華區,房地(土地+建物),臺北市萬華區桂林路２４２巷４４弄１２號,4.25,住,,,1070621,土地1建物1車位0,全,一層,透天厝,,磚造,,3.63,2,1,1,有,無,420000,115702,,0.0,0,,RPPNMLNJPHNFFBA57CA,0.0,0.0,0.0,,
中山區,房地(土地+建物),臺北市中山區中山北路二段72巷9號六樓,9.05,商,,,1070601,土地1建物1車位0,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0970429,54.03,1,1,1,有,有,12400000,229502,,0.0,0,,RPOOMLTJPHNFFCA28CA,27.3,1.57,3.82,,
內湖區,房地(土地+建物),臺北市內湖區康寧路一段１６５號九樓之１,36.63,住,,,1070607,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880602,142.82,3,2,2,有,有,21000000,147038,,0.0,0,,RPSPMLRKPHNFFCA68CA,88.6,2.53,11.63,,
內湖區,房地(土地+建物)+車位,臺北市內湖區安泰街114巷21號8樓之2,21.55,住,,,1070514,土地1建物1車位1,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980929,143.25,2,2,1,有,有,14680000,102485,坡道平面,46.65,0,,RPOSMLTLOHNFFCA78CA,57.3,3.55,7.66,,
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段７７號八樓,58.17,其他,,,1070502,土地2建物1車位3,八層,二十二層,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,1030917,766.46,5,2,5,有,有,282000000,367930,坡道平面,130.45,0,,RPSNMLTJPHNFFDA68CA,365.44,22.38,41.9,,
松山區,房地(土地+建物),臺北市松山區東興路２巷５號,42.0,住,,,1070504,土地2建物1車位0,一層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,102.04,2,2,1,有,無,31800000,311642,,0.0,0,,RPWOMLTJPHNFFDA56CA,102.04,0.0,0.0,,
信義區,房地(土地+建物),臺北市信義區福德街２６８巷２６弄１８號,46.2,住,,,1070606,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761222,290.44,3,2,2,有,無,39000000,134279,,0.0,0,,RPOOMLMLPHNFFDA87CA,137.58,152.86,0.0,,
